Country_Region,Confirmed,Deaths,Recovered,Active
Mexico,5924,942,4791,191
Japan,2062,52,1397,613
Mexico,5712,952,4213,547
Colombia,3152,114,2446,592
China,583,6,577,0
Russia,159,1,149,9
Russia,6980,62,4180,2738
Mexico,78898,9309,63252,6337
Mexico,14913,820,11473,2620
Mexico,2171,261,1418,492
Chile,7072,81,6030,961
Colombia,8245,796,3237,4212
Ukraine,1386,16,1010,360
Colombia,11272,304,5897,5071
Netherlands,31,1,30,0
Peru,6003,139,0,5864
India,1437,2,1014,421
Russia,9565,451,8598,516
Sweden,2003,172,0,1831
India,142723,4082,128232,10409
Canada,0,1,0,
US,49,0,0,49
Brazil,119903,1682,99385,18836
Ukraine,1508,31,1132,345
Ukraine,945,13,724,208
Netherlands,563,41,0,522
Mexico,4624,326,3623,675
Japan,100,5,82,13
Italy,30008,4292,24041,1675
United Kingdom,266645,41886,0,224759
Brazil,89923,2698,76059,11166
Spain,3542,521,2652,369
United Kingdom,13,0,13,0
Denmark,291,0,192,99
Netherlands,1046,93,0,953
France,8204,47,7320,837
France,69,0,62,7
Netherlands,658,69,0,589
Italy,3436,346,2935,155
China,367,1,363,3
Japan,153,8,123,22
Japan,2754,36,1371,1347
Japan,95,0,86,9
Spain,10011,619,9204,188
China,167,2,165,0
Sweden,3161,161,0,3000
Netherlands,6714,684,0,6030
United Kingdom,190,0,184,6
Japan,435,7,244,184
Pakistan,2287,55,1861,371
India,7947,70,5595,2282
Brazil,82807,1946,73704,7157
Sweden,270,6,0,264
US,103,3,0,100
Denmark,14,0,14,0
Netherlands,418,17,0,401
France,290,14,186,90
Colombia,15,1,13,1
US,411,5,0,406
Mexico,23527,1168,19009,3350
China,1688,8,1664,16
China,255,2,253,0
Colombia,126,0,60,66
Mexico,11963,1430,9124,1409
China,147,2,145,0
India,68768,2605,51720,14443
Japan,211,19,152,40
China,171,6,165,0
Sweden,1843,79,0,1764
Germany,5609,262,5000,347
India,40054,467,33444,6143
China,349,6,343,0
China,947,13,934,0
China,1276,22,1254,0
Germany,12468,524,11208,736
Mexico,7618,1177,5448,993
India,3150,14,1954,1182
Japan,396,3,269,124
Japan,1517,103,1273,141
China,3938,47,2620,1271
Peru,2148,41,0,2107
Peru,7653,213,0,7440
China,68139,4512,63623,4
Colombia,1363,32,562,769
China,1019,4,1015,0
Japan,1535,47,1069,419
Japan,368,10,244,114
Peru,14406,951,0,13455
Russia,3822,74,3221,527
China,258,1,247,10
Russia,14381,206,10065,4110
Japan,331,27,283,21
Pakistan,15182,170,12833,2179
United Kingdom,336,24,312,0
Ukraine,5426,150,1988,3288
Russia,6597,107,5321,1169
Japan,7,0,1,6
Mexico,14550,1720,11048,1782
India,23927,449,16218,7260
Sweden,1153,59,0,1094
Russia,550,8,491,51
India,16465,151,7391,8923
China,659,0,654,5
China,932,1,931,0
China,157,2,154,1
Sweden,4760,180,0,4580
Peru,9171,466,0,8705
Russia,6084,73,5655,356
Japan,58,0,42,16
Japan,275,3,190,82
Russia,2973,45,2397,531
Sweden,788,62,0,726
Russia,2897,42,2143,712
Russia,7390,56,6131,1203
Russia,3483,42,3036,405
Japan,3060,103,2381,576
Russia,4517,24,3383,1110
Russia,2507,12,1562,933
India,164924,2998,84232,77694
Russia,4158,18,2957,1183
India,31700,102,19147,12451
Russia,8280,71,5716,2493
Russia,2984,33,2667,284
Russia,17492,137,14795,2560
Ukraine,4527,138,2399,1990
Ukraine,255,3,213,39
Ukraine,1286,25,1001,260
Pakistan,34432,1219,30681,2532
Ukraine,9178,142,3163,5873
Ukraine,4058,67,2902,1089
Russia,5153,76,4527,550
Ukraine,714,38,648,28
Japan,83,3,76,4
Russia,5619,64,4529,1026
Russia,2458,27,1823,608
Russia,9061,126,7776,1159
Russia,14062,353,12056,1653
Sweden,1201,103,0,1098
Japan,340,5,68,267
Russia,2450,10,1934,506
Russia,6404,51,5060,1293
Japan,942,21,658,263
Colombia,2584,140,1543,901
Peru,16881,1412,0,15469
Spain,4233,366,3107,760
India,1614,9,1194,411
India,0,0,0,0
Peru,18341,1251,0,17090
Italy,8764,865,6891,1008
Russia,6116,56,4591,1469
China,259,2,168,89
Italy,10272,1568,8488,216
Peru,237156,9716,0,227440
Netherlands,4960,754,0,4206
Russia,4665,22,3822,821
Italy,96706,16829,74232,5645
Peru,12282,559,0,11723
Chile,4690,51,3644,995
Chile,937,15,868,54
Ukraine,146,1,115,30
Ukraine,10572,294,2822,7456
China,46,0,46,0
India,37298,962,27621,8715
Peru,3850,106,0,3744
Spain,80673,8458,40736,31479
Russia,1464,14,1113,337
Chile,1942,30,1685,227
Colombia,7973,421,4487,3065
India,490262,17092,327281,145889
India,3466,10,1926,1530
Canada,491,8,351,132
Brazil,128846,3138,116180,9528
Italy,6935,987,5790,158
Russia,3873,36,3384,453
France,336,16,98,222
Brazil,62785,2037,38576,22172
Brazil,29988,481,22020,7487
Chile,9639,197,8635,807
France,3068,39,2835,194
Germany,931,20,820,91
India,1006,5,411,590
Spain,151,2,125,24
Colombia,3602,50,2091,1461
Chile,260657,7847,246638,6172
Mexico,56564,6869,45028,4667
Mexico,10817,829,8616,1372
Japan,211,1,68,142
Brazil,147323,3381,115582,28360
Japan,181,1,152,28
Japan,235,0,143,92
India,566,0,289,277
Italy,479,23,421,35
United Kingdom,13,1,10,2
Peru,4244,128,0,4116
Russia,4709,38,3627,1044
Mexico,4345,868,3079,398
Russia,246154,4546,187576,54032
Russia,64555,1120,48005,15430
Spain,2831,148,2180,503
Russia,11136,90,7659,3387
Ukraine,682,15,477,190
India,2657,7,824,1826
Japan,126,0,92,34
Japan,149,3,32,114
Japan,302,2,215,85
Colombia,9137,312,5562,3263
Spain,7193,529,3905,2759
Mexico,3809,436,2835,538
Russia,284,0,90,194
Canada,176,2,168,6
France,22,0,22,0
Australia,3851,50,2994,807
Canada,267,3,263,1
Germany,14847,654,13544,649
Japan,125,0,101,24
China,75,0,75,0
Russia,24654,403,21198,3053
Netherlands,10486,1539,0,8947
Netherlands,8906,815,0,8091
Germany,50937,1755,45532,3650
Sweden,1616,84,0,1532
Colombia,3863,201,1266,2396
Russia,4611,67,4137,407
United Kingdom,6064,556,0,5508
US,47,2,0,45
Australia,33,0,30,3
Canada,5,0,5,0
Canada,1071,64,1005,2
Russia,3872,72,2716,1084
Russia,10031,269,8342,1420
Chile,3703,68,3391,244
Mexico,20984,1393,17285,2306
Chile,11220,263,10204,753
Mexico,11485,1011,9513,961
Ukraine,3904,65,1391,2448
India,42550,247,28698,13605
Japan,78,1,59,18
Japan,107,0,69,38
Japan,890,7,328,555
Russia,7531,82,5282,2167
Canada,41815,2829,37717,1269
Sweden,2554,171,0,2383
Russia,5885,93,4562,1230
Russia,7656,51,6038,1567
Japan,5396,95,3544,1757
Sweden,3592,261,0,3331
Netherlands,3225,311,0,2914
Italy,2761,292,2341,128
Italy,4992,405,4505,82
Spain,17820,1565,16160,95
Brazil,164759,5854,149284,9621
Brazil,89117,1965,42971,44181
Brazil,88899,2270,50255,36374
Peru,2417,53,0,2364
Russia,6855,87,5876,892
Russia,6368,175,4565,1628
Brazil,102872,6867,77379,18626
Brazil,58390,1452,56215,723
Italy,31799,4136,26871,792
Peru,22184,1306,0,20878
Ukraine,489,15,345,129
Japan,661,1,238,422
Russia,7510,90,5888,1532
Canada,36,0,36,0
Russia,3889,55,2772,1062
India,4862,75,2914,1873
Mexico,21987,2732,17218,2037
Italy,4696,553,3973,170
India,21930,539,14040,7351
Pakistan,94040,2164,86085,5791
Peru,3211,98,0,3113
Colombia,1356,59,392,905
China,18,0,18,0
Canada,60241,5687,50886,3668
Australia,1088,6,1071,11
Mexico,4158,535,3118,505
Colombia,480,11,221,248
Mexico,8492,1091,6353,1048
India,50157,767,36195,13195
US,0,0,1623870,-2427348
France,675,5,631,39
Germany,7713,239,7200,274
Brazil,54717,1965,27923,24829
Brazil,79026,2282,69975,6769
Brazil,175696,14028,156785,4883
Colombia,2392,44,957,1391
Ukraine,6638,103,5139,1396
Brazil,43390,934,35490,6966
Brazil,35540,544,9110,25886
Russia,13851,255,11198,2398
Russia,6489,32,5920,537
Germany,2900,174,2651,75
Germany,5624,225,5285,114
Germany,2059,64,1913,82
Japan,139,0,64,75
France,9,0,6,3
Russia,32575,2136,23926,6513
France,4,0,1,3
Japan,2741,79,2021,641
Russia,6172,62,5461,649
Russia,3010,0,1548,1462
Russia,7131,104,5381,1646
Colombia,48,0,32,16
Mexico,11688,599,8853,2236
Peru,9862,401,0,9461
Brazil,101582,1400,85913,14269
Colombia,5942,200,1916,3826
Brazil,608379,24735,391699,191945
Russia,10062,62,6192,3808
Italy,1433,134,1241,58
Canada,1409,20,1221,168
Germany,3578,158,3200,220
United Kingdom,18890,2491,0,16399
Brazil,63728,1558,44439,17731
Ukraine,371,11,304,56
China,328,3,318,7
China,806,7,788,11
China,766,7,729,30
China,201,0,201,0
Japan,273,1,151,121
Japan,29,0,29,0
Japan,347,1,212,134
China,611,3,599,9
Italy,3396,284,2743,369
India,854,1,406,447
Mexico,13583,2348,10415,820
Pakistan,122759,2250,114518,5991
Netherlands,176,16,86,74
Sweden,3861,272,0,3589
Russia,5786,106,4486,1194
Mexico,18835,2248,15496,1091
Sweden,2399,253,0,2146
Australia,459,4,445,10
France,53,3,41,9
Russia,8999,172,6172,2655
Sweden,23646,2387,0,21259
Colombia,7119,393,4209,2517
Ukraine,636,9,391,236
Russia,21905,315,18314,3276
Mexico,23783,2171,19658,1954
Peru,3918,44,0,3874
Mexico,17759,1254,14931,1574
Russia,6184,36,5052,1096
India,285024,4690,227575,52759
Chile,9252,178,8346,728
Australia,229,13,216,0
Russia,5810,27,4709,1074
India,77513,615,54330,22568
Ukraine,3212,41,1989,1182
Germany,3413,182,3190,41
China,205,3,197,5
China,1,0,1,0
Mexico,5015,732,3782,501
Brazil,30358,437,18609,11312
Japan,238,0,161,77
Japan,56,1,10,45
Japan,15117,333,11007,3777
Colombia,3371,74,1837,1460
Russia,4525,43,3098,1384
Italy,10560,1137,8988,435
Japan,21,0,5,16
Japan,271,22,212,37
India,5999,37,4084,1878
Russia,8537,266,7174,1097
Peru,4549,216,0,4333
United Kingdom,170,2,39,129
Russia,4791,153,3910,728
Russia,6430,28,5600,802
Russia,6284,60,4752,1472
Peru,10748,238,0,10510
Russia,2520,33,2128,359
Russia,9835,73,7038,2724
Italy,1488,80,1375,33
Chile,68,1,62,5
Germany,1575,0,0,1575
India,0,0,0,0
Japan,8,0,8,0
Netherlands,530,18,0,512
Peru,0,0,314332,-314332
Spain,0,0,0,0
United Kingdom,0,0,0,0
Sweden,3607,239,0,3368
Netherlands,4582,432,0,4150
India,113378,1981,66834,44563
India,8901,112,5731,3058
Italy,1214,146,1051,17
Colombia,30371,1177,17553,11641
Chile,18682,547,16807,1328
Sweden,1067,73,0,994
Sweden,920,31,0,889
Sweden,1809,133,0,1676
Sweden,2678,180,0,2498
Sweden,18881,842,0,18039
Colombia,61,1,59,1
Italy,20535,2078,17242,1215
Mexico,23131,2990,17701,2440
Colombia,13,0,1,12
Australia,14283,193,6066,8024
Ukraine,2932,58,2190,684
US,522,9,0,513
Russia,5748,158,5210,380
Russia,9804,69,6183,3552
Russia,2600,26,2032,542
Ukraine,4162,90,3126,946
Russia,11800,92,9884,1824
Japan,173,3,136,34
United Kingdom,17406,1578,0,15828
India,89666,1954,63060,24652
Australia,642,9,628,5
China,824,3,181,640
Japan,76,1,75,0
Japan,67,0,49,18
Russia,11712,79,10138,1495
Japan,127,1,89,37
Russia,6309,31,5677,601
Mexico,11210,992,8420,1798
Canada,15,0,13,2
China,191,2,187,2
Russia,4165,48,3832,285
Mexico,3226,303,2211,712
Ukraine,5615,216,2341,3058
Ukraine,895,21,640,234
Netherlands,905,69,0,836
China,1271,1,1268,2
Ukraine,2064,40,1518,506
Netherlands,14508,1312,0,13196
Afghanistan,37015,1307,25903,9805
Albania,6151,189,3227,2735
Algeria,34155,1282,23667,9206
Andorra,955,52,839,64
Angola,1538,67,544,927
Antigua and Barbuda,92,3,76,13
Argentina,235677,4411,103297,127969
Armenia,39985,777,32008,7200
Austria,21837,720,19690,1427
Azerbaijan,33376,483,29696,3197
Bahamas,830,14,95,721
Bahrain,43307,159,40276,2872
Bangladesh,252502,3333,145584,103585
Barbados,138,7,100,31
Belarus,68614,583,64200,3831
Belgium,72784,9866,17728,45190
Belize,114,2,32,80
Benin,1936,38,1600,298
Bhutan,108,0,96,12
Bolivia,87891,3524,28139,56228
Bosnia and Herzegovina,13687,394,7373,5920
Botswana,804,2,63,739
Brunei,142,3,138,1
Bulgaria,13209,442,7622,5145
Burkina Faso,1158,54,961,143
Burma,359,6,309,44
Burundi,400,1,304,95
Cabo Verde,2780,29,2042,709
Cambodia,246,0,215,31
Cameroon,17718,391,15320,2007
Central African Republic,4641,59,1716,2866
Chad,942,76,838,28
Comoros,396,7,353,36
Congo (Brazzaville),3637,58,1589,1990
Congo (Kinshasa),9355,218,8174,963
Costa Rica,22081,218,7266,14597
Cote d'Ivoire,16524,104,12802,3618
Croatia,5466,155,4758,553
Cuba,2829,88,2429,312
Cyprus,1222,19,856,347
Czechia,18060,389,12749,4922
Denmark,14442,617,12840,985
Diamond Princess,712,13,651,48
Djibouti,5338,59,5083,196
Dominica,18,0,18,0
Dominican Republic,77709,1259,41393,35057
Ecuador,91969,5897,71463,14609
Egypt,95147,4971,50553,39623
El Salvador,19544,520,9379,9645
Equatorial Guinea,4821,83,2182,2556
Eritrea,285,0,245,40
Estonia,2133,63,1956,114
Eswatini,3036,56,1476,1504
Ethiopia,21452,380,9415,11657
Fiji,27,1,18,8
Finland,7554,331,6980,243
France,222477,30203,71766,120508
Gabon,7923,51,5704,2168
Gambia,1090,19,146,925
Georgia,1213,17,994,202
Ghana,40097,206,36638,3253
Greece,5270,210,1374,3686
Grenada,24,0,23,1
Guatemala,55270,2168,43135,9967
Guinea,7777,50,6800,927
Guinea-Bissau,2032,27,944,1061
Guyana,538,22,189,327
Haiti,7599,177,4893,2529
Holy See,12,0,12,0
Honduras,46365,1465,6355,38545
Hungary,4621,602,3464,555
Iceland,1952,10,1833,109
Indonesia,121226,5593,77557,38076
Iran,322567,18132,279724,24711
Iraq,144064,5236,103197,35631
Ireland,26470,1772,23364,1334
Israel,80991,581,55313,25097
Jamaica,987,13,745,229
Jordan,1237,11,1178,48
Kazakhstan,97829,1058,71609,25162
Kenya,25138,413,11118,13607
"Korea, South",14562,304,13629,629
Kosovo,9869,303,5480,4086
Kuwait,70727,471,62330,7926
Kyrgyzstan,39162,1451,30764,6947
Laos,20,0,19,1
Latvia,1281,32,1070,179
Lebanon,5951,70,2042,3839
Lesotho,742,23,175,544
Liberia,1230,78,705,447
Libya,5079,108,660,4311
Liechtenstein,89,1,85,3
Lithuania,2194,81,1658,455
Luxembourg,7113,119,5848,1146
MS Zaandam,9,2,0,7
Madagascar,12708,135,10412,2161
Malawi,4575,137,2184,2254
Malaysia,9063,125,8728,210
Maldives,4769,19,2754,1996
Mali,2561,125,1956,480
Malta,995,9,675,311
Mauritania,6498,157,5443,898
Mauritius,344,10,334,0
Moldova,26990,835,18918,7237
Monaco,128,4,105,19
Mongolia,293,0,260,33
Montenegro,3549,61,2296,1192
Morocco,30662,461,21548,8653
Mozambique,2213,15,827,1371
Namibia,2802,16,575,2211
Nepal,22214,70,15814,6330
New Zealand,1569,22,1524,23
Nicaragua,3902,123,2913,866
Niger,1153,69,1057,27
Nigeria,45687,936,32637,12114
North Macedonia,11554,519,7607,3428
Norway,9551,256,8857,438
Oman,81067,502,72263,8302
Panama,72560,1591,46675,24294
Papua New Guinea,188,3,53,132
Paraguay,6508,69,5123,1316
Philippines,122754,2168,66852,53734
Poland,50324,1787,36041,12496
Portugal,52351,1746,38087,12518
Qatar,112383,180,109142,3061
Romania,59273,2616,29289,27368
Rwanda,2128,5,1297,826
Saint Kitts and Nevis,17,0,16,1
Saint Lucia,25,0,24,1
Saint Vincent and the Grenadines,56,0,49,7
San Marino,699,42,657,0
Sao Tome and Principe,878,15,799,64
Saudi Arabia,285793,3093,248948,33752
Senegal,10887,225,7186,3476
Serbia,27608,626,0,26982
Seychelles,126,0,125,1
Sierra Leone,1887,68,1435,384
Singapore,54797,27,48312,6458
Slovakia,2523,31,1846,646
Slovenia,2233,125,1927,181
Somalia,3227,93,1728,1406
South Africa,545476,9909,394759,140808
South Sudan,2450,47,1175,1228
Sri Lanka,2839,11,2564,264
Sudan,11894,773,6243,4878
Suriname,2203,29,1505,669
Switzerland,36269,1986,31600,2683
Syria,1060,48,311,701
Taiwan*,477,7,441,29
Tajikistan,7706,62,6484,1160
Tanzania,509,21,183,305
Thailand,3345,58,3148,139
Timor-Leste,25,0,24,1
Togo,1028,22,710,296
Trinidad and Tobago,225,8,135,82
Tunisia,1656,51,1251,354
Turkey,238450,5813,221574,11063
Uganda,1254,6,1113,135
United Arab Emirates,62061,356,56015,5690
Uruguay,1325,37,1095,193
Uzbekistan,29057,181,20059,8817
Venezuela,24166,208,12470,11488
Vietnam,789,10,395,384
West Bank and Gaza,13722,94,7210,6418
Western Sahara,10,1,8,1
Yemen,1796,512,907,377
Zambia,7486,200,6264,1022
Zimbabwe,4451,102,1345,3004
US,0,239,0,-239
US,2,0,0,2
Colombia,0,0,0,0
Canada,13,0,13,0
US,1,0,0,1
US,0,0,0,0
